"Name";"Artikelnummer";"QR-/Barcode";"Kategorie";"Unterkategorie";"Einheit";"Durchmesser";"Laenge";"Bestand";"Mindestbestand";"Lagerort";"Lieferant";"Notiz";"Listenpreis";"Einkaufspreis";"Rabatt"
"Nagelrollen Coilnägel Drahtgebunden 16° Schraub Galv. Verzinkt";"C16S-HGA-3190";"C16S-HGA-3190";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"90";"0";"0";"";"Holzbau-Shop";"";"40,28";"14,10";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Glatt Feuerverzinkt";"C16-HFE-3180";"C16-HFE-3180";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"80";"0";"0";"";"Holzbau-Shop";"";"74,20";"25,97";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Ring Linsenkopf Rostfrei A2";"C16RL-HA2-2865";"C16RL-HA2-2865";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"65";"0";"0";"";"Holzbau-Shop";"";"95,40";"33,39";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Ring Linsenkopf Rostfrei A2";"C16RL-HA2-2880";"C16RL-HA2-2880";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"80";"0";"0";"";"Holzbau-Shop";"";"127,20";"44,52";"65,0"
"Nagelrollen Coilnägel Sheetgebunden 16° Ring Linsenkopf A2";"CS16RL-HA2-2550";"CS16RL-HA2-2550";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,5";"50";"0";"0";"";"Holzbau-Shop";"";"84,80";"29,68";"65,0"
"Nagelrollen Coilnägel Sheetgebunden 16° Ring Linsenkopf A2";"CS16RL-HA2-2865";"CS16RL-HA2-2865";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"65";"0";"0";"";"Holzbau-Shop";"";"95,40";"33,39";"65,0"
"Nagelrollen Coilnägel Sheetgebunden 16° Ring Linsenkopf A2";"CS16RL-HA2-2880";"CS16RL-HA2-2880";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"80";"0";"0";"";"Holzbau-Shop";"";"127,20";"44,52";"65,0"
"Ankernagler Tjep KA2 /40-50-60 mm";"AK3460B";"AK3460B";"Befestigungsmittel";"Anker / Betonschrauben";"Stk";"3,4";"60";"0";"0";"";"Holzbau-Shop";"";"339,20";"271,36";"20,0"
"Dachpappnagler DN1645B";"DN1645B";"DN1645B";"Befestigungsmittel";"Sonstiges";"Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"413,40";"330,72";"20,0"
"Haftennagler Coil PC50";"HK1650B";"HK1650B";"Befestigungsmittel";"Nägel / Klammern";"Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"477,00";"381,60";"20,0"
"Klammernagler Wimmer 15-40mm";"KFD40W";"KFD40W";"Befestigungsmittel";"Nägel / Klammern";"Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"625,40";"500,32";"20,0"
"Ankernägel Ringnut Vario Tech AK34 DIN1052";"AK34-4040";"AK34-4040";"Befestigungsmittel";"Anker / Betonschrauben";"1000 Stk";"4";"40";"0";"0";"";"Holzbau-Shop";"";"50,88";"17,81";"65,0"
"Ankernägel Ringnut Vario Tech AK34 DIN1052";"AK34-4050";"AK34-4050";"Befestigungsmittel";"Anker / Betonschrauben";"1000 Stk";"4";"50";"0";"0";"";"Holzbau-Shop";"";"53,00";"18,55";"65,0"
"Ankernägel Ringnut Vario Tech AK34 DIN1052";"AK34-4060";"AK34-4060";"Befestigungsmittel";"Anker / Betonschrauben";"1000 Stk";"4";"60";"0";"0";"";"Holzbau-Shop";"";"58,30";"20,41";"65,0"
